Created on 10-18-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-10-18 01-AM,ADABTC,1.178e-05,1.182e-05,1.178e-05,1.182e-05,0.0,0.0
2018-10-18 12-AM,ADABTC,1.19e-05,1.19e-05,1.177e-05,1.178e-05,585097.99,6.93
2018-10-17 11-PM,ADABTC,1.187e-05,1.19e-05,1.185e-05,1.19e-05,287458.6,3.41
2018-10-17 10-PM,ADABTC,1.187e-05,1.193e-05,1.186e-05,1.187e-05,216681.26,2.57
2018-10-17 09-PM,ADABTC,1.196e-05,1.197e-05,1.187e-05,1.187e-05,294895.44,3.51
2018-10-17 08-PM,ADABTC,1.2e-05,1.21e-05,1.186e-05,1.196e-05,894791.41,10.78
2018-10-17 07-PM,ADABTC,1.19e-05,1.207e-05,1.184e-05,1.2e-05,656382.69,7.84
2018-10-17 06-PM,ADABTC,1.191e-05,1.191e-05,1.183e-05,1.19e-05,1137788.19,13.49
2018-10-17 05-PM,ADABTC,1.194e-05,1.202e-05,1.183e-05,1.191e-05,1992989.77,23.81
2018-10-17 04-PM,ADABTC,1.18e-05,1.196e-05,1.178e-05,1.194e-05,979491.5,11.63
2018-10-17 03-PM,ADABTC,1.171e-05,1.181e-05,1.166e-05,1.18e-05,586351.86,6.88
2018-10-17 02-PM,ADABTC,1.164e-05,1.179e-05,1.159e-05,1.171e-05,500213.95,5.85
2018-10-17 01-PM,ADABTC,1.164e-05,1.165e-05,1.157e-05,1.164e-05,334746.03,3.89
2018-10-17 12-PM,ADABTC,1.157e-05,1.165e-05,1.156e-05,1.164e-05,273854.84,3.18
2018-10-17 11-AM,ADABTC,1.154e-05,1.164e-05,1.145e-05,1.157e-05,626652.95,7.23
2018-10-17 10-AM,ADABTC,1.162e-05,1.162e-05,1.154e-05,1.154e-05,160138.2,1.85
2018-10-17 09-AM,ADABTC,1.16e-05,1.165e-05,1.157e-05,1.162e-05,521913.29,6.06
2018-10-17 08-AM,ADABTC,1.157e-05,1.16e-05,1.152e-05,1.16e-05,232391.23,2.69
2018-10-17 07-AM,ADABTC,1.157e-05,1.16e-05,1.151e-05,1.157e-05,582264.71,6.73
2018-10-17 06-AM,ADABTC,1.161e-05,1.163e-05,1.156e-05,1.157e-05,496099.31,5.74
2018-10-17 05-AM,ADABTC,1.161e-05,1.168e-05,1.156e-05,1.161e-05,2434988.03,28.28
2018-10-17 04-AM,ADABTC,1.167e-05,1.17e-05,1.15e-05,1.161e-05,3458022.19,40.03
2018-10-17 03-AM,ADABTC,1.165e-05,1.175e-05,1.164e-05,1.167e-05,247680.07,2.9
2018-10-17 02-AM,ADABTC,1.163e-05,1.169e-05,1.161e-05,1.165e-05,136793.8,1.59
2018-10-17 01-AM,ADABTC,1.166e-05,1.173e-05,1.161e-05,1.163e-05,249997.85,2.92
2018-10-17 12-AM,ADABTC,1.151e-05,1.166e-05,1.151e-05,1.166e-05,200008.36,2.32
2018-10-16 11-PM,ADABTC,1.16e-05,1.168e-05,1.151e-05,1.151e-05,161708.05,1.87
2018-10-16 10-PM,ADABTC,1.162e-05,1.17e-05,1.16e-05,1.16e-05,252741.31,2.95
2018-10-16 09-PM,ADABTC,1.15e-05,1.165e-05,1.15e-05,1.162e-05,526854.93,6.11
2018-10-16 08-PM,ADABTC,1.147e-05,1.154e-05,1.145e-05,1.15e-05,281092.54,3.23
2018-10-16 07-PM,ADABTC,1.147e-05,1.152e-05,1.136e-05,1.147e-05,942142.61,10.75
2018-10-16 06-PM,ADABTC,1.152e-05,1.152e-05,1.144e-05,1.147e-05,175579.06,2.02
2018-10-16 05-PM,ADABTC,1.148e-05,1.156e-05,1.143e-05,1.152e-05,392226.73,4.5
2018-10-16 04-PM,ADABTC,1.154e-05,1.156e-05,1.144e-05,1.148e-05,509994.78,5.86
2018-10-16 03-PM,ADABTC,1.147e-05,1.155e-05,1.147e-05,1.154e-05,271845.87,3.12
2018-10-16 02-PM,ADABTC,1.144e-05,1.152e-05,1.139e-05,1.147e-05,263656.13,3.02
2018-10-16 01-PM,ADABTC,1.14e-05,1.147e-05,1.138e-05,1.144e-05,243517.41,2.78
2018-10-16 12-PM,ADABTC,1.145e-05,1.15e-05,1.138e-05,1.14e-05,295799.22,3.39
2018-10-16 11-AM,ADABTC,1.141e-05,1.147e-05,1.137e-05,1.145e-05,761915.41,8.71
2018-10-16 10-AM,ADABTC,1.14e-05,1.142e-05,1.134e-05,1.141e-05,74027.27,0.8434
2018-10-16 09-AM,ADABTC,1.141e-05,1.143e-05,1.134e-05,1.14e-05,537836.44,6.12
2018-10-16 08-AM,ADABTC,1.143e-05,1.144e-05,1.139e-05,1.141e-05,1383798.65,15.81
2018-10-16 07-AM,ADABTC,1.137e-05,1.146e-05,1.137e-05,1.143e-05,198688.34,2.27
2018-10-16 06-AM,ADABTC,1.142e-05,1.147e-05,1.134e-05,1.137e-05,308421.79,3.52
2018-10-16 05-AM,ADABTC,1.132e-05,1.153e-05,1.131e-05,1.142e-05,561712.13,6.42
2018-10-16 04-AM,ADABTC,1.136e-05,1.137e-05,1.131e-05,1.132e-05,179969.04,2.04
2018-10-16 03-AM,ADABTC,1.137e-05,1.141e-05,1.131e-05,1.136e-05,579587.37,6.57
2018-10-16 02-AM,ADABTC,1.133e-05,1.14e-05,1.129e-05,1.137e-05,238898.0,2.71
2018-10-16 01-AM,ADABTC,1.138e-05,1.138e-05,1.131e-05,1.133e-05,199020.34,2.26
2018-10-16 12-AM,ADABTC,1.139e-05,1.139e-05,1.131e-05,1.138e-05,773620.97,8.76
2018-10-15 11-PM,ADABTC,1.137e-05,1.14e-05,1.133e-05,1.139e-05,137856.37,1.57
2018-10-15 10-PM,ADABTC,1.129e-05,1.137e-05,1.128e-05,1.137e-05,200182.85,2.27
2018-10-15 09-PM,ADABTC,1.129e-05,1.133e-05,1.127e-05,1.129e-05,593612.88,6.69
2018-10-15 08-PM,ADABTC,1.123e-05,1.137e-05,1.122e-05,1.129e-05,320651.22,3.61
2018-10-15 07-PM,ADABTC,1.128e-05,1.13e-05,1.122e-05,1.123e-05,383580.1,4.32
2018-10-15 06-PM,ADABTC,1.123e-05,1.134e-05,1.123e-05,1.128e-05,256687.75,2.89
2018-10-15 05-PM,ADABTC,1.123e-05,1.131e-05,1.121e-05,1.123e-05,482901.69,5.44
2018-10-15 04-PM,ADABTC,1.127e-05,1.135e-05,1.123e-05,1.123e-05,899946.22,10.19
2018-10-15 03-PM,ADABTC,1.126e-05,1.128e-05,1.121e-05,1.127e-05,346446.43,3.89
2018-10-15 02-PM,ADABTC,1.121e-05,1.129e-05,1.121e-05,1.126e-05,391857.47,4.4
2018-10-15 01-PM,ADABTC,1.121e-05,1.125e-05,1.121e-05,1.121e-05,1767387.89,19.82
2018-10-15 12-PM,ADABTC,1.124e-05,1.133e-05,1.116e-05,1.121e-05,1239432.52,13.95
2018-10-15 11-AM,ADABTC,1.127e-05,1.136e-05,1.122e-05,1.124e-05,1980856.6,22.38
2018-10-15 10-AM,ADABTC,1.12e-05,1.13e-05,1.118e-05,1.127e-05,394214.86,4.43
2018-10-15 09-AM,ADABTC,1.124e-05,1.136e-05,1.12e-05,1.12e-05,1759619.61,19.79
2018-10-15 08-AM,ADABTC,1.119e-05,1.13e-05,1.117e-05,1.124e-05,690074.79,7.74
2018-10-15 07-AM,ADABTC,1.12e-05,1.126e-05,1.101e-05,1.119e-05,3515737.81,39.27
2018-10-15 06-AM,ADABTC,1.144e-05,1.165e-05,1.112e-05,1.12e-05,4053023.47,46.18
2018-10-15 05-AM,ADABTC,1.121e-05,1.161e-05,1.116e-05,1.144e-05,1047666.2,11.97
2018-10-15 04-AM,ADABTC,1.119e-05,1.122e-05,1.115e-05,1.121e-05,127219.6,1.42
2018-10-15 03-AM,ADABTC,1.121e-05,1.122e-05,1.116e-05,1.119e-05,94851.93,1.06
2018-10-15 02-AM,ADABTC,1.131e-05,1.131e-05,1.116e-05,1.121e-05,248588.69,2.79
2018-10-15 01-AM,ADABTC,1.129e-05,1.135e-05,1.124e-05,1.131e-05,167323.29,1.89
2018-10-15 12-AM,ADABTC,1.133e-05,1.133e-05,1.108e-05,1.129e-05,1230694.03,13.75
2018-10-14 11-PM,ADABTC,1.15e-05,1.15e-05,1.125e-05,1.133e-05,903873.94,10.3
2018-10-14 10-PM,ADABTC,1.15e-05,1.154e-05,1.144e-05,1.15e-05,163960.76,1.88
2018-10-14 09-PM,ADABTC,1.153e-05,1.156e-05,1.143e-05,1.15e-05,361779.52,4.15
2018-10-14 08-PM,ADABTC,1.154e-05,1.157e-05,1.146e-05,1.153e-05,178025.7,2.05
2018-10-14 07-PM,ADABTC,1.153e-05,1.159e-05,1.149e-05,1.154e-05,215313.83,2.48
2018-10-14 06-PM,ADABTC,1.161e-05,1.161e-05,1.15e-05,1.153e-05,313365.1,3.62
2018-10-14 05-PM,ADABTC,1.162e-05,1.162e-05,1.152e-05,1.161e-05,205491.86,2.37
2018-10-14 04-PM,ADABTC,1.159e-05,1.163e-05,1.154e-05,1.162e-05,273135.15,3.17
2018-10-14 03-PM,ADABTC,1.158e-05,1.159e-05,1.153e-05,1.159e-05,558883.29,6.46
2018-10-14 02-PM,ADABTC,1.156e-05,1.16e-05,1.152e-05,1.158e-05,84548.21,0.9773
2018-10-14 01-PM,ADABTC,1.156e-05,1.157e-05,1.152e-05,1.156e-05,88438.48,1.02
2018-10-14 12-PM,ADABTC,1.154e-05,1.159e-05,1.15e-05,1.156e-05,286325.76,3.31
2018-10-14 11-AM,ADABTC,1.156e-05,1.156e-05,1.148e-05,1.154e-05,283919.8,3.27
2018-10-14 10-AM,ADABTC,1.153e-05,1.162e-05,1.145e-05,1.156e-05,568433.12,6.54
2018-10-14 09-AM,ADABTC,1.163e-05,1.163e-05,1.152e-05,1.153e-05,104624.24,1.21
2018-10-14 08-AM,ADABTC,1.163e-05,1.164e-05,1.15e-05,1.163e-05,563415.53,6.5
2018-10-14 07-AM,ADABTC,1.156e-05,1.164e-05,1.152e-05,1.163e-05,236952.8,2.74
2018-10-14 06-AM,ADABTC,1.155e-05,1.163e-05,1.15e-05,1.156e-05,535011.13,6.19
2018-10-14 05-AM,ADABTC,1.161e-05,1.168e-05,1.155e-05,1.155e-05,220013.87,2.55
2018-10-14 04-AM,ADABTC,1.155e-05,1.169e-05,1.155e-05,1.161e-05,214813.22,2.5
2018-10-14 03-AM,ADABTC,1.155e-05,1.163e-05,1.151e-05,1.155e-05,781155.48,9.05
2018-10-14 02-AM,ADABTC,1.153e-05,1.159e-05,1.151e-05,1.155e-05,731756.26,8.43
2018-10-14 01-AM,ADABTC,1.163e-05,1.163e-05,1.152e-05,1.153e-05,182128.24,2.11
2018-10-14 12-AM,ADABTC,1.166e-05,1.167e-05,1.155e-05,1.163e-05,146211.9,1.7
2018-10-13 11-PM,ADABTC,1.162e-05,1.17e-05,1.162e-05,1.166e-05,88258.3,1.03
2018-10-13 10-PM,ADABTC,1.157e-05,1.168e-05,1.156e-05,1.162e-05,987515.0,11.44
